test error,training error,validation error
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,1.0
1.0,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9989130434782608
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9996376811594203,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
0.998914223669924,0.9992753623188406,0.9978260869565218
